1,2,3,4,5,6,7,8,9,11,22,33,44,a,b,c,d,e,f
0,0,1,1,1,0,1,1,0,-0.533541017,6.377079482,19.79374355,77.10553455,1,1,1,0,0,0
0,1,2,2,2,1,0,0,1,-0.501179432,-6.008708273,88.36284449,101.3084005,0,1,0,0,1,0
0,1,2,2,2,1,0,0,1,0.245427012,-1.447368421,4.844055891,6.093676031,1,0,1,0,1,1
0,1,2,2,2,1,0,0,1,-1.104818684,-1.741935484,50.91082987,4.873815858,1,1,1,1,0,0
0,1,2,2,2,1,0,0,1,-0.818884301,-0.034299434,-12.21446802,-14.61706251,1,0,1,1,0,1
0,1,2,2,2,1,0,0,1,-0.072277858,-0.307042794,-36.39312653,-44.29132396,1,1,0,1,1,1
0,1,2,2,2,1,0,0,1,0.690213829,-3.243550835,-20.17048378,-18.94001351,1,1,1,0,0,1
0,1,2,2,2,1,0,0,1,-1.374867823,5.763557976,-20.48522434,-19.29040934,0,0,0,1,1,0
0,1,2,2,2,1,0,0,1,-0.818884301,0.56675063,-8.564794604,-1.787975277,1,1,1,0,0,0
0,1,2,2,2,1,0,0,1,0.388394203,3.226652676,22.71045264,36.66585086,1,1,1,0,0,0
0,1,2,2,2,1,0,0,1,0.340738473,2.307035033,-17.8910067,-4.591980741,0,0,1,0,0,0
0,1,2,2,2,1,0,0,1,-0.405867971,2.280614774,-7.179268488,-31.51996288,0,0,0,1,0,0
0,1,2,2,2,1,0,0,1,0.833181021,1.952221937,13.23292456,26.95939661,0,0,0,1,1,1
0,1,2,2,2,1,0,0,1,2.040459525,0.476190476,-11.13219128,-28.68014383,1,1,1,0,0,1
0,1,2,2,2,1,0,0,1,1.818066116,-0.908873475,-25.78342747,-31.67781914,0,1,0,1,0,0
0,1,2,2,2,1,0,0,1,0.42016469,7.508889354,-61.37733648,-67.45945772,0,1,1,1,0,0
0,1,2,2,2,1,0,0,1,0.118345064,12.77845281,-1.103019854,-29.73056532,1,0,0,0,1,0
0,1,2,2,2,1,0,0,1,0.308967986,25.24818001,124.8762299,145.226907,1,0,1,1,1,1
0,1,2,2,2,1,0,0,1,0.801410534,-3.681818182,-54.57133929,-64.48482919,0,0,1,1,0,1
0,0,3,1,3,1,2,2,1,1.230446089,-5.239752514,2.466193219,9.465898585,1,1,1,1,1,0
0,0,3,1,3,1,2,2,1,1.289482644,-0.199645075,-4.658776226,-3.469888542,0,1,0,0,0,1
0,0,3,1,3,1,2,2,1,2.411177184,-7.139909203,-10.73822227,-21.31673467,0,0,1,0,1,1
0,0,3,1,3,1,2,2,1,-0.009321561,2.971071149,35.03366988,-9.605955038,0,1,1,0,1,0
0,0,3,1,3,1,2,2,1,-0.009321561,2.941891563,-41.92857103,-19.74050359,1,0,0,0,0,0
0,0,3,1,3,1,2,2,1,0.226824658,-0.65,-16.03613177,-14.08076514,1,0,0,0,0,1
0,0,3,1,3,1,2,2,1,0.699117096,5.052493438,-9.699616466,-1.144464331,0,1,1,1,1,1
0,0,3,1,3,1,2,2,1,-0.540650554,-1.041316762,-11.34475924,30.37310641,1,0,0,1,0,1
0,0,3,1,3,1,2,2,1,-0.422577445,-2.132196162,-27.83531121,-5.178009203,1,1,0,0,0,0
0,0,3,1,3,1,2,2,1,0.167788103,-0.47805302,-59.86271773,-65.04000995,1,1,1,0,1,0
0,0,3,1,3,1,2,2,1,1.230446089,0.15015015,12.54098873,22.79744172,0,0,0,1,1,1
0,0,3,1,3,1,2,2,1,-0.894869883,7.040913416,-25.25608953,2.948111796,1,1,0,0,0,1
0,0,3,1,3,1,2,2,1,-0.36354089,-8.326787117,41.86777015,24.96259501,1,1,1,1,0,0
0,0,3,1,3,1,2,2,1,-0.481613999,0.696117805,20.87101589,10.51014136,1,0,1,0,1,0
0,0,3,1,3,1,2,2,1,-0.009321561,0.205690778,-36.00762268,-22.8550392,0,1,1,1,1,1
0,0,3,1,3,1,2,2,1,-1.071979547,-3.344584228,12.01278953,12.43028694,0,1,1,0,0,1
0,0,3,1,3,1,2,2,1,-0.953906438,2.555509007,-18.60111704,-5.990504271,1,0,1,1,1,0
0,0,3,1,3,1,2,2,1,-1.012942992,-2.120498149,35.73405962,-1.284682063,1,0,1,1,1,1
0,1,4,0,4,2,1,1,0,-0.987487517,-0.098425197,-28.86038935,-50.80860033,1,1,1,0,1,0
0,1,4,0,4,2,1,1,0,0.126600964,2.605948934,-31.46826132,-19.38148973,1,0,1,0,1,0
0,1,4,0,4,2,1,1,0,-0.151921156,6.321112516,7.555116781,3.862201554,1,1,0,1,1,0
0,1,4,0,4,2,1,1,0,1.088768288,13.75426621,-9.525699506,-8.868093111,1,1,0,0,0,1
0,1,4,0,4,2,1,1,0,1.645812529,-10.933082,-23.56758723,-10.85696162,0,1,0,0,1,0
0,1,4,0,4,2,1,1,0,2.430738504,-6.115071794,19.44275988,46.75056021,0,0,1,1,1,0
0,1,4,0,4,2,1,1,0,1.417930794,-2.884012539,-23.08947959,-30.84976988,0,1,0,0,0,0
0,1,4,0,4,2,1,1,0,1.01280771,1.282401091,-21.30573366,-22.50793158,1,0,1,1,1,1
0,1,4,0,4,2,1,1,0,-0.27852212,-7.073509015,-4.829544459,71.6859762,0,0,0,1,0,0
0,1,4,0,4,2,1,1,0,-0.835566361,-2.619047619,-10.85227756,-18.02469136,0,0,0,0,0,1
0,1,4,0,4,2,1,1,0,-1.114088481,-5.798394291,-31.38992464,-51.95001512,0,1,1,1,1,0
